I28TU,I28TU_Gramm
the man is guiding for the tourist,0
"this girl lost her way so she trying to get help from local people, and the man pointed direction for her, so she can find the way to her destination",0
a man and a woman are looking a map,0
the man is helping the woman with directions,1
the man is showing the girl the direction,1
a man and a woman is trying to fin their way using a map,0
a man is helping a woman to find the right direction,1
the woman can't find the right road so she asks this man for help,1
the man is showing a girl where to go,1
the man is telling the girl where to go,1
the man is telling the directions for the girl,0
the man is showing the direction to the woman,1
the man is telling the woman what direction she should follow,1
the man is giving direction to the tourist,5
he is telling the women which way she should go,1
the man is guiding for a girl,0
he talks about the direction with this girl,1
the man is directing,1
the man is helping the girl who is lost,1
the man help the girl to find the correct direction she doesn't know,0
the man is pointing a direction for a female tourist,5
the man's looking at the map and guiding the way,1
he is tell the girl how to use the map,0
the man is guiding the woman about the direction,5
the man is pointing the direction for a woman,5
a man is telling the direction for a woman,5
the man is directing the way to help the girl,1
the man is showing the direction to the female,1
a girl is asking for help to the man,5
the man is directing the way for the girl,1
he is showing a girl the way,1
the man is giving directions to the woman,1
the man is showing the direction to the girl,1
he is telling a direction to a traveler,5
the man who in yellow is showing the way to a girl,0
the man is pointing the way to a traveler,1
the man is showing a location to this girl,1
he is helping the lady out,1
the man is looking at the map to find the direction,1
the man is guiding,0
a man is guiding a visitor who holds a map,1
the man is pointing to a direction,1
a man tries to tell the place that lady wants to get,0
the man is telling to that girl how to get to that place in the map,1
the man is pointing the direction,5
the man is guiding with the map,0
the man is showing the woman directions using map,0
he is telling the direction that the woman need to follow,0
he is pointing somewhere,1
he is indicating the way,1
the man is telling the girl the way to her destination,1
he is helping the girl to find the way to go,1
the man is pointing the routine for a woman,0
the man is telling a girl where to go,1
the man is looking at a map carefully and directing a way to the woman,1
the man is leading the girl a right way to the destination,0
the man is explaining the route to the girl,1
the man is showing the girl how to get to the place she wants to go,1
the man is telling the girl the how to achieve her destination,0
the man is guiding a girl to somewhere on map,0
the people are watching the map,1
a man is showing the direction for a visitor,1
the man is leading the girl,1
the man is helping a visiter to find her way,0
the man is showing the way to the girl,1
directing the road for the tourist,1
he is helping the girl to find the way,1
the man is pointing at a direction,1
the man is directing the route for the woman,1
the man is giving directions to the lady,1
the man is helping the woman find the place she is heading,1
the man is showing the way to the woman by pointing the map,0
the man is telling her how to get to the destination,1
a man is giving a woman directions,1
a woman is asking a man for directions,1
a girl asks a man for directions,1
a man provides directions,1
the woman is listening to directions,1
directions are being given to the woman,1
the man is giving the woman directions,1
the woman is asking the man for directions,1
she is getting directions,1
he is telling her where to go,1
a young couple who are on a backpacking adventure are consulting a map following an argument about the route to be taken to reach their next destination,1
a boyfriend is impatiently explaining how to use a map to his girlfriend,1
the girl is asking directions,1
the man is giving directions,1
the man and woman are looking at a map,1
the man is giving the directions,1
the woman is lost,1
the man is giving the girl directions,1
the man is telling the girl where her father was last seen 10 years ago,1
the man is showing the woman which way to go,1
they are trying to read a map,1
he is pointing in the direction he thinks she should go,1
a couple is looking at a map,1
two people are trying to figure out where to go,1
the girl is asking the man for directions,1
the yellow people are trying to find their way back home,1
the hiker with malaria asks the man with malaria if he knows the way to the nearest hospital,1
a man is giving directions to a hiker,1
a hiker is getting directions,1
two hikers are figuring out where to go,1
a hiker is asking for directions,1
the woman is lost and the man is explaining the way she needs to go,1
the woman is receiving map directions from the man,1
the couple is looking at the map,1
the couple is standing and looking at the map,1
the girl is getting directions,1
the guy is telling the girl where to go,1
a woman is looking at a map and getting directions,1
the couple is hiking,1
they are lost,1
a man is giving a hiker directions,1
a girl asked a man to help her use a map,1
a man gives directions to a tourist,1
the woman needs help figuring out where to go,1
couple are looking at a map,0
couple are exploring,0
instructor is giving direction to the playground,0
the girl is listening to what the man is explaing on her ipad,0
a young man is giving directions to a female hiker,1
a young man is helping a young girl find her way with a map,1
the man is telling the lady which direction she needs to go in,1
the man thinks they should go that way,1
the girl is getting directions from the man,1
a man is providing directions to a woman,1
the man is pointing out something on the map,1
a man is giving a girl directions,1
a girl is asking for directions,1
two people are looking at a map,1
a man and a women are looking at a map,0
the man is telling the girl where she needs to go,1
the lost girl is getting directions from the man who is pointing the way she needs to go to get to what she wants to see,1
a man is giving directions to a woman,1
a woman is getting directions from a man,1
the coach is helping a runner plot his route,1
little does to coach knot but the runner has been running all the possible routes in anticipation that they may be part of a race at some point,0
the woman is receiving directions,1
the guy is showing the girl where to go,1
the girl needed directions,1
a lost couple is consulting a map,1
a map is being consulted by a lost couple,1
the couple is lost and trying to find their way back to camp,1
the man is showing the woman which was is north,0
two travelers are looking at a map,1
a woman holds and look at a map while a man points in a direction in reference to the map,0
brad is telling angela she can't bring her ipad camping,1
ipad being ridiculed for wanting to go camping,0
the man is showing the hiker directions on her map,1
the hiker has asked the man for directions,1
the hiking leader is very unhappy with what he is seeing,1
the hiker is taking instructions from the hiking leader who is seemingly unhappy,1
the person pointing their finger is helping the lost hiker,1
the girl is holding a map,1
a young girl is asking for directions,1
one person is offering help to another who seems to be lost,1
the woman is giving map directions to the woman,1
the woman is obtaining directions from the man,1
the guy is giving the girl directions,1
the couple try to figure out directions,1
the boyfriend is showing his girlfriend where to go,1
he is giving her directions,1
she is getting directions from the guy,1
a backpacker is getting directions from a stranger,1
the man is helping the backpacker find her way,1
the girl is asking for directions,1
the man is giving her directions,1
a traveler is getting directions to a location,1
a person is giving directions to a traveler,1
the woman is getting directions from the man,1
a hiker gets directions from a willing stranger,1
a person who is lost is getting assistance,1
man gives woman directions,0
traveler receives directions from local,0
anna is asking directions from the nice man that she had met on the bus,1
the couple looks at a map,1
the man and woman look at a map,1
j,0
h,0
the couple is lost,1
two people are looking at a map and deciding which way to go,1
a man is helping a girl with finding a place,5
man is showing girl how to find something,0
lost,0
giving directions,1
hey,0
hey man,0
lecherous man giving bad directions to a naive woman on the trail,0
young woman pretending to be lost and then taking advantage of a man with jaundice,0
the girl is lost and the man is telling her where to go,1
they were not sure where to go so they took a look at the map,1
the man is directing the woman to a place where nobody can hear her screams when he takes her skin off to wear to the big party,1
the man is showing the woman directions on a map,1
the man is pointing in the right direction for the hiker,1
the man is looking at a map,1
the man is giving the backpacker directions,1
the man is showing the backpacker how to find a location on the map,1
he is giving directions,1
the man is telling her where to go,1
the man is telling her what to do,1
he is giving directions to the backpacker,1
he is giving directions to the girl,1
he is explaining how to get to a certain place,1
the man is giving directions to the girl,1
the man is hiking,1
the man is pointing in the direction that she should go,1
the man is giving the girl directions to where she wants to go,1
the man is showing the girl where to go by using her map,1
the man is pointing the girl in the right direction,1
telling the lady where to go,1
telling the lady where not to go,1
the man is pointing,1
hiking,1
the man is hiking with the woman,1
the man is giving the hiker directions,1
the man is directing the girl which way to go,1
hugging,5
looking at a map,1
helping give her directions,1
helping the woman find her way,1
the man is showing directions,1
he is pointing out the way,1
the man is providing directions to the hiker,1
the man is showing the hiker points of interest on the map,1
man is giving verbal directions,0
man is helping girl find her way by assisting her with reading the map,0
the man is pointing out the directions to the hiker,1
he's giving her directions,1
reading,1
holding a friend,1
the woman with the map is getting directions from a man,1
the man is telling the woman with the map which way to go,1
the man is offering directions,1
"sally is too stupid to read a map, so steve just points",1
the man is giving instruction to the girl,1
the man is giving a direction to the lady,1
the man is teaching the girl how to read a map,1
the man is helping the tourist,1
the girl asks for directions,1
the map is hard to read,1
being mad at her,1
sending her to her room,1
direction her to right direction,0
pointing,1
the man is pointing in the direction the girl should go,1
the man is trying to explain which way the girl should go,1
he is telling the woman where she can go with her bullshit,1
the boy is giving the girl directions,1
the man is giving direction,5
giving the woman directions,1
he is giving the woman directions to the porn shop,1
asdf,0
getting her number,1
showing the lady directions,1
the man is giving directions to the hiker,1
while pointing toward a landmark the man is trying to figure out if it's a long haired guy or a really flat chested girl hiker he's giving directions to,1
the man is giving ditections,0
the man is helping the woman who is lost,1
the man is navigating a map,1
kara asked a fellow camper for directions to the women's bathrooms,1
"with a tablet, smartphone, and internet service, a person can find directions to many different places",1
the man is giving directions to a woman,1
the woman is listening to the man who is giving directions,1
fixing to be in trouble for not asking for directions before they got to the park. she is frustrated by his lack of planning and she is going to leave him when they get back home for a more responsible person,5
he is trying to find the current location on the map,1
the man is standing,1
the man it pointing out the location from the map,0
the man is showing which direction to go,5
the girl is listening to the directions given,1
he is vacationing somewhere unfamiliar to him,1
he is being confused by a map,1
don't know,0
the man is telling the woman where to go,1
he is explaining the route on the map,1
the man is giving the woman instructions,1
the man is point in the direction the woman needs to go,1
the man is giving directions to a tourist,1
he is showing the tourist direction,5
he is pointing to a location,1
the man is referring to the map which the woman is holding,1
the man is pointing out a geographic feature which is on a map,1
arguing with the woman about what trail to take,1
getting directions,1
the man is giving directions to a hiker,1
the man is reading a map,1
the man is showing her the way,1
the man looks like he's giving someone directions,1
he's giving someone directions,1
reading a map,1
giving directions to woman,1
showing woman how to read a mqp,0
he's telling her where to go,1
showing his girlfriend how to read a map,1
showing her where the bodies are,1
in the direction,0
the man is pointing out directions,1
the man is offering directional assistance,1
the man helps the hiker with directions on a map,1
the man shows a girl where to go on a map,1
the girl has asked the man for directions,1
