I05U,I05U_Verif
there is only one boy in the math class,1
a female teacher is teaching math to a male student,1
a boy in school is learning math from a female teacher,1
the student learns math,1
the teacher teaches math,1
teaching math problems,1
student learning math from teacher,1
the boy is learning math,1
the teacher lectures on math,1
a boy is learning math from his teacher,1
a teacher is conducting an arithmetic class for a boy much too old to be learning this material for the first time,1
a female teacher in high heels is giving math examples on a green chalk board,1
a woman is instructing addition problems,1
arithmetic is being taught,1
a teacher stands in front on a classroom,1
it is this days math lesson,1
a woman teaches arithmetic to one child,1
a boy is being taught arithmetic,1
a teacher teaching class,1
a student and class,0
the teacher is teaching her student math,1
the student is learning math from the teacher,1
the teacher is teaching math to the student,1
great looking teacher,0
teaching math,0
a teacher is teaching math to her student,1
a student is learning mathematics,1
the teacher is teaching the student math,1
a student is taking a match course,0
the student is learning math from his teacher,1
the teacher is lecturing a student on math,1
teaching math to a student,1
a little strict in doing this,0
the student is learning about addition and subtraction,1
the teacher is giving extra help to a struggling student,0
the teacher is explaining math to her student,1
the teacher teaches the student basic math,1
the student learns math from his teacher,1
a teacher is teaching basic math to a student,1
the boy is learning how to add and subtract,1
the student in the classroom is being taught math,1
the boy learns math from his teacher,1
the lady is teaching math to the young boy,1
the child is learning addition and subtraction,1
the teacher is teaching addition and subtraction,1
a teacher is teaching a lesson,1
a lesson is being taught by a teacher,1
a student is being taught elementary math,1
the subject of the moment is addition,1
a teacher reviews simple math equations,1
a student learns basic arithmetic,1
the teacher is presenting two simple math calculations,1
"the boy seems to be turning his face to the right, perhaps indicating he's not interested in math",0
the teacher is instructing her student,1
the student learns math from the teacher,1
the teacher is teaching the child math,1
the teacher instructs arithmetic,1
the lone student listens to the boring lecture about math,0
the pedagogue is teaching her pupil arithmetics for the lesson of the day,1
the student sits in his chair watching intently how the master (teacher) is imparting this valuable information,1
the teacher teaches the student,1
the student learns from the teacher,1
the teaching is instructing on basic arithmetic,1
the student is learning basic arithmetic,1
a kid is at his desk,1
the woman is teaching,1
the student is learning,1
a teacher is presenting math problems,1
a young boy is studying maths,1
